Price_area,Date,Hour,Price_NOK_MWh,Price_NOK_kWh
NO1,2019-07-01,1,273.45238095238096,0.27345238095238095
NO2,2019-07-01,1,273.6904761904762,0.2736904761904762
NO3,2019-07-01,1,265.1190476190476,0.2651190476190476
NO4,2019-07-01,1,265.1190476190476,0.2651190476190476
NO5,2019-07-01,1,273.45238095238096,0.27345238095238095
NO1,2019-07-08,1,334.4047619047619,0.3344047619047619
NO2,2019-07-08,1,334.4047619047619,0.3344047619047619
NO3,2019-07-08,1,325.59523809523813,0.3255952380952381
NO4,2019-07-08,1,324.1071428571429,0.32410714285714287
NO5,2019-07-08,1,334.4047619047619,0.3344047619047619
NO1,2019-07-15,1,360.3571428571429,0.3603571428571429
NO2,2019-07-15,1,360.3571428571429,0.3603571428571429
NO3,2019-07-15,1,352.32142857142856,0.35232142857142856
NO4,2019-07-15,1,347.9761904761905,0.3479761904761905
NO5,2019-07-15,1,360.3571428571429,0.3603571428571429
NO1,2019-07-22,1,363.75,0.36375
NO2,2019-07-22,1,363.75,0.36375
NO3,2019-07-22,1,365.17857142857144,0.36517857142857146
NO4,2019-07-22,1,365.11904761904765,0.3651190476190476
NO5,2019-07-22,1,363.75,0.36375
NO1,2019-07-29,1,386.0119047619048,0.38601190476190483
NO2,2019-07-29,1,386.0119047619048,0.38601190476190483
NO3,2019-07-29,1,387.0238095238095,0.3870238095238095
NO4,2019-07-29,1,386.25,0.38625
NO5,2019-07-29,1,386.0119047619048,0.38601190476190483
NO1,2019-08-05,1,365.7142857142857,0.3657142857142857
NO2,2019-08-05,1,365.7142857142857,0.3657142857142857
NO3,2019-08-05,1,370.5357142857143,0.3705357142857143
NO4,2019-08-05,1,374.16666666666663,0.37416666666666665
NO5,2019-08-05,1,365.7142857142857,0.3657142857142857
NO1,2019-08-12,1,335.23809523809524,0.3352380952380952
NO2,2019-08-12,1,335.23809523809524,0.3352380952380952
NO3,2019-08-12,1,345.4761904761905,0.3454761904761905
NO4,2019-08-12,1,347.3809523809524,0.3473809523809524
NO5,2019-08-12,1,335.23809523809524,0.3352380952380952
NO1,2019-08-19,1,328.75,0.32875
NO2,2019-08-19,1,328.75,0.32875
NO3,2019-08-19,1,349.4642857142857,0.3494642857142857
NO4,2019-08-19,1,348.2142857142857,0.3482142857142857
NO5,2019-08-19,1,328.75,0.32875
NO1,2019-08-26,1,322.26190476190476,0.32226190476190475
NO2,2019-08-26,1,322.26190476190476,0.32226190476190475
NO3,2019-08-26,1,374.5238095238095,0.37452380952380954
NO4,2019-08-26,1,353.3333333333333,0.35333333333333333
NO5,2019-08-26,1,322.26190476190476,0.32226190476190475
NO1,2019-09-02,1,298.57142857142856,0.29857142857142854
NO2,2019-09-02,1,306.3690476190476,0.3063690476190476
NO3,2019-09-02,1,355.05952380952385,0.3550595238095238
NO4,2019-09-02,1,352.6190476190476,0.3526190476190476
NO5,2019-09-02,1,298.57142857142856,0.29857142857142854
NO1,2019-09-09,1,286.25,0.28625
NO2,2019-09-09,1,286.25,0.28625
NO3,2019-09-09,1,317.9761904761905,0.31797619047619047
NO4,2019-09-09,1,313.51190476190476,0.31351190476190477
NO5,2019-09-09,1,286.25,0.28625
NO1,2019-09-16,1,284.2261904761905,0.28422619047619047
NO2,2019-09-16,1,284.2261904761905,0.28422619047619047
NO3,2019-09-16,1,326.9047619047619,0.3269047619047619
NO4,2019-09-16,1,332.73809523809524,0.3327380952380952
NO5,2019-09-16,1,284.2261904761905,0.28422619047619047
NO1,2019-09-23,1,313.2142857142857,0.3132142857142857
NO2,2019-09-23,1,313.2142857142857,0.3132142857142857
NO3,2019-09-23,1,327.5595238095238,0.3275595238095238
NO4,2019-09-23,1,327.79761904761904,0.32779761904761906
NO5,2019-09-23,1,313.2142857142857,0.3132142857142857
NO1,2019-09-30,1,350.41666666666663,0.35041666666666665
NO2,2019-09-30,1,350.41666666666663,0.35041666666666665
NO3,2019-09-30,1,350.0595238095238,0.3500595238095238
NO4,2019-09-30,1,335.8333333333333,0.3358333333333333
NO5,2019-09-30,1,350.41666666666663,0.35041666666666665
NO1,2019-10-07,1,363.3333333333333,0.36333333333333334
NO2,2019-10-07,1,363.3333333333333,0.36333333333333334
NO3,2019-10-07,1,360.23809523809524,0.36023809523809525
NO4,2019-10-07,1,360.23809523809524,0.36023809523809525
NO5,2019-10-07,1,363.3928571428571,0.36339285714285713
NO1,2019-10-14,1,364.16666666666663,0.36416666666666664
NO2,2019-10-14,1,362.73809523809524,0.36273809523809525
NO3,2019-10-14,1,374.4047619047619,0.3744047619047619
NO4,2019-10-14,1,371.3690476190476,0.3713690476190476
NO5,2019-10-14,1,364.16666666666663,0.36416666666666664
NO1,2019-10-21,1,380.89285714285717,0.38089285714285714
NO2,2019-10-21,1,380.5952380952381,0.3805952380952381
NO3,2019-10-21,1,370.1785714285714,0.3701785714285714
NO4,2019-10-21,1,367.5,0.3675
NO5,2019-10-21,1,380.89285714285717,0.38089285714285714
NO1,2019-10-28,1,398.3928571428571,0.3983928571428571
NO2,2019-10-28,1,398.3928571428571,0.3983928571428571
NO3,2019-10-28,1,390.7142857142857,0.39071428571428574
NO4,2019-10-28,1,390.5357142857143,0.39053571428571426
NO5,2019-10-28,1,398.3928571428571,0.3983928571428571
NO1,2019-11-04,1,454.1071428571429,0.4541071428571429
NO2,2019-11-04,1,452.20238095238096,0.45220238095238097
NO3,2019-11-04,1,451.7261904761905,0.4517261904761905
NO4,2019-11-04,1,441.07142857142856,0.44107142857142856
NO5,2019-11-04,1,454.1071428571429,0.4541071428571429
NO1,2019-11-11,1,433.63095238095235,0.43363095238095234
NO2,2019-11-11,1,433.2738095238096,0.43327380952380956
